feature,mean_abs_shap
roll_mean_12,0.8762274409448626
lag_1_on_hand_qty,0.31862190530513756
lead_time_days,0.12081108017943072
planned_maintenance,0.11393817972289579
roll_std_12,0.1056674596486095
week_of_year,0.10187030387115449
roll_mean_8,0.04698769346856186
criticality_class_enc,0.04616434958386843
supplier_risk_class_enc,0.03187257258962171
month,0.02711610679401338
lag_4,0.02343989762888864
lag_8,0.014976822728186257
part_family_enc,0.01434381079613751
roll_mean_4,0.01426722123220759
lag_1,0.013826106055942556
lag_2,0.011135227311478604
unit_cost,0.006218015012748927
lag_12,0.0023859646875958825
roll_std_8,0.002089879735438812
is_repairable,0.0006126671151511924
roll_std_4,0.0
quarter,0.0
day_of_month,0.0
day_of_week,0.0
lag_1_backorder_qty,0.0
lag_1_blocked_qty,0.0
