entity_id,entity_type,actor_type,actor_name,action,details,timestamp
REC-2018-08-14-6560211a,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 42 units,2018-08-28T09:00:00Z
REC-2018-08-14-6560211a,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-9f505651,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 28 units,2018-08-28T09:00:00Z
REC-2018-08-14-9f505651,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-d13e50ea,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 8 units,2018-08-28T09:00:00Z
REC-2018-08-14-d13e50ea,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-da8622b1,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 31 units,2018-08-28T09:00:00Z
REC-2018-08-14-da8622b1,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-4a3ca931,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 46 units,2018-08-28T09:00:00Z
REC-2018-08-14-4a3ca931,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-955fee92,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 35 units,2018-08-28T09:00:00Z
REC-2018-08-14-955fee92,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-e9779976,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 36 units,2018-08-28T09:00:00Z
REC-2018-08-14-e9779976,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-8a432f4e,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 11 units,2018-08-28T09:00:00Z
REC-2018-08-14-8a432f4e,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-1025f0e2,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 31 units,2018-08-28T09:00:00Z
REC-2018-08-14-1025f0e2,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-4b9750c8,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 29 units,2018-08-28T09:00:00Z
REC-2018-08-14-4b9750c8,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-cc419e06,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 22 units,2018-08-28T09:00:00Z
REC-2018-08-14-cc419e06,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-d91fb3b7,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 15 units,2018-08-28T09:00:00Z
REC-2018-08-14-d91fb3b7,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-671585f5,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 4 units,2018-08-28T09:00:00Z
REC-2018-08-14-671585f5,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-4869f7a5,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 20 units,2018-08-28T09:00:00Z
REC-2018-08-14-4869f7a5,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-f8db351d,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 12 units,2018-08-28T09:00:00Z
REC-2018-08-14-f8db351d,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-c003204e,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 11 units,2018-08-28T09:00:00Z
REC-2018-08-14-c003204e,PURCHASE_ORDER,AI_AGENT,Verifier Agent,AGREE,net_benefit positive and no guardrail flags,2018-08-28T09:00:00Z
REC-2018-08-14-c70c1b0d,PURCHASE_ORDER,AI_AGENT,Replenishment Planner,DRAFTED,AI drafted PO for 11 units,2018-08-28T09:00:00Z
