po_id,sku_id,status,ai_recommended_qty,ai_guardrail_flags,ai_drafted_at,human_approved_qty,reviewer_user_id,human_feedback,reviewed_at,executed_at,rec_id,store_id,decision_date,on_hand,reorder_point,safety_stock,service_level,days_to_stockout,stockout_risk_7d,cost_if_ignored,cost_of_action,net_benefit,rationale,evidence,proposer,verification
e572bcda-3129-5178-9873-ca5412a3b7dc,6560211a19b47992c3666cc44a7e94c0,PENDING_APPROVAL,42,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-6560211a,OLIST-BR,2018-08-14,7.0,49.45,21.97,0.9,7.0,1.0,551.28,10.16,541.12,"Order 42.0 units of 6560211a at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 27.48, ""p90_lt"": 49.45, ""lead_time_mean"": 9.6, ""lead_time_std"": 7.5, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 42.0 units of 6560211a at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
c46055bc-1273-54f4-bf85-b331905a86a1,9f505651f4a6abe901a56cdc21508025,PENDING_APPROVAL,28,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-9f505651,OLIST-BR,2018-08-14,7.0,35.08,16.61,0.9,7.0,1.0,311.05,6.25,304.8,"Order 28.0 units of 9f505651 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 18.47, ""p90_lt"": 35.08, ""lead_time_mean"": 8.3, ""lead_time_std"": 7.7, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 28.0 units of 9f505651 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
c9be35a6-f1ad-546f-9098-4c7141f3689a,d13e50eaa47b4cbe9eb81465865d8cfc,PENDING_APPROVAL,8,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-d13e50ea,OLIST-BR,2018-08-14,7.0,15.25,5.87,0.9,7.0,0.464,105.74,1.71,104.03,"Order 8.0 units of d13e50ea at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 9.38, ""p90_lt"": 15.25, ""lead_time_mean"": 5.0, ""lead_time_std"": 2.8, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 8.0 units of d13e50ea at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
7aa786f3-335e-55bf-ac0a-e6ee9102294f,da8622b14eb17ae2831f4ac5b9dab84a,PENDING_APPROVAL,31,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-da8622b1,OLIST-BR,2018-08-14,7.0,38.25,19.56,0.9,7.0,1.0,612.12,15.97,596.15,"Order 31.0 units of da8622b1 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 18.69, ""p90_lt"": 38.25, ""lead_time_mean"": 11.2, ""lead_time_std"": 9.5, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 31.0 units of da8622b1 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
fe2f2caf-033f-599d-85d4-c676c2926134,4a3ca9315b744ce9f8e9374361493884,PENDING_APPROVAL,46,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-4a3ca931,OLIST-BR,2018-08-14,7.0,52.65,25.33,0.9,7.0,1.0,953.88,25.71,928.17,"Order 46.0 units of 4a3ca931 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 27.32, ""p90_lt"": 52.65, ""lead_time_mean"": 14.5, ""lead_time_std"": 9.3, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 46.0 units of 4a3ca931 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
83475620-2b4b-58f7-ab50-5b637e6fe1de,955fee9216a65b617aa5c0531780ce60,PENDING_APPROVAL,35,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-955fee92,OLIST-BR,2018-08-14,7.0,41.63,22.65,0.9,7.0,1.0,522.65,13.65,509.0,"Order 35.0 units of 955fee92 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 18.99, ""p90_lt"": 41.63, ""lead_time_mean"": 10.7, ""lead_time_std"": 8.2, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 35.0 units of 955fee92 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
57337b8b-4f03-59ac-8d0c-71b0d23f95b8,e9779976487b77c6d4ac45f75ec7afe9,PENDING_APPROVAL,36,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-e9779976,OLIST-BR,2018-08-14,7.0,42.5,24.21,0.9,7.0,1.0,324.54,8.39,316.15,"Order 36.0 units of e9779976 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 18.29, ""p90_lt"": 42.5, ""lead_time_mean"": 9.9, ""lead_time_std"": 9.3, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 36.0 units of e9779976 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
08a7e58b-cf10-5cc3-8bdf-dbabc8c27653,8a432f4e5b471f8da497d7dc517666e2,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-8a432f4e,OLIST-BR,2018-08-14,7.0,18.3,6.22,0.9,7.0,1.0,137.47,2.85,134.62,"Order 11.0 units of 8a432f4e at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 12.08, ""p90_lt"": 18.3, ""lead_time_mean"": 8.0, ""lead_time_std"": 5.4, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 11.0 units of 8a432f4e at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
aa43a7bc-c830-5ba4-ad4e-926969f5aaa8,1025f0e2d44d7041d6cf58b6550e0bfa,PENDING_APPROVAL,31,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-1025f0e2,OLIST-BR,2018-08-14,7.0,37.83,12.72,0.9,7.0,1.0,778.48,15.6,762.88,"Order 31.0 units of 1025f0e2 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 25.11, ""p90_lt"": 37.83, ""lead_time_mean"": 12.1, ""lead_time_std"": 7.9, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 31.0 units of 1025f0e2 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
c8708737-7f4a-5e63-ae6c-1b26c95e6627,4b9750c8ad28220fe6702d4ecb7c898f,PENDING_APPROVAL,29,[],2018-08-28T09:00:00Z,,,,,,REC-2018-08-14-4b9750c8,OLIST-BR,2018-08-14,7.0,36.4,22.34,0.9,7.0,1.0,216.97,6.79,210.18,"Order 29.0 units of 4b9750c8 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.","{""p50_lt"": 14.06, ""p90_lt"": 36.4, ""lead_time_mean"": 9.4, ""lead_time_std"": 10.8, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}","{""decision"": ""APPROVE"", ""confidence"": 0.6, ""rationale"": ""Order 29.0 units of 4b9750c8 at OLIST-BR \u2014 demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate."", ""ai_available"": false}","{""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}"
